maTTHC;tenTTHC;DoiTuong;LinhVuc;;;;;;
1.010105;Xác nhận đủ điều kiện nhập khẩu danh mục đối với đồ chơi trẻ em, máy móc thiết bị trò chơi điện tử;Doanh nghiệp;Hoạt động mua bán quốc tế chuyên ngành văn hóa (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
2.002354.H17;Thủ tục cấp công hàm đề nghị phía nước ngoài cấp thị thực tại cơ quan trong nước của Bộ Ngoại giao;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Công tác lãnh sự (Bộ Ngoại giao);;;;;;
2.002312.H17;Thủ tục cho phép tổ chức hội nghị, hội thảo quốc tế không thuộc thẩm quyền cho phép của Thủ tướng Chính phủ;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hội nghị, hội thảo quốc tế (Bộ Ngoại giao);;;;;;
2.002352.H17;Thủ tục cấp hộ chiếu ngoại giao, hộ chiếu công vụ (không gắn chip điện tử) tại cơ quan trong nước của Bộ Ngoại giao;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Công tác lãnh sự (Bộ Ngoại giao);;;;;;
2.002353.H17;Thủ tục gia hạn hộ chiếu ngoại giao, hộ chiếu công vụ (không gắn chip điện tử) tại cơ quan trong nước của Bộ Ngoại giao.;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Công tác lãnh sự (Bộ Ngoại giao);;;;;;
2.002144.H17;Đánh giá đồng thời thẩm định kết quả thực hiện nhiệm vụ khoa học và công nghệ không sử dụng ngân sách nhà nước mà có tiềm ẩn yếu tố ảnh hưởng đến lợi ích quốc gia, quốc phòng, an ninh, môi trường, tính mạng, sức khỏe con người.;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
1.010125;Trình cấp phép xuất nhập cảnh cho cán bộ, công chức, viên chức, người lao động (CBCCVC, NLĐ) thành phố Đà Nẵng (UBND TP Đà Nẵng);"Cán bộ, công chức, viên chức; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Công tác lãnh sự (Bộ Ngoại giao);;;;;;
1.010126;Trình khen thưởng đối ngoại đối với các tổ chức và cá nhân nước ngoài, người Việt Nam ở nước ngoài và người Việt Nam làm việc cho các tổ chức nước ngoài có những đóng góp tích cực cho thành phố Đà Nẵng (UBND TP Đà Nẵng);Cán bộ, công chức, viên chức;Công tác lãnh sự (Bộ Ngoại giao);;;;;;
1.010127;Trình mời người nước ngoài vào làm việc (UBND TP Đà Nẵng);Tổ chức (không bao gồm doanh nghiệp, HTX);Công tác lãnh sự (Bộ Ngoại giao);;;;;;
1.010141;Hỗ trợ kinh phí tham gia cuộc thi về khởi nghiệp đổi mới sáng tạo trong nước và quốc tế (mới xây dựng, bổ sung);Công dân Việt Nam;Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
1.010142;Hỗ trợ kinh phí cho sinh viên/nhóm sinh viên nghiên cứu, hoàn thiện đề tài lọt vào vòng chung kết Cuộc thi sinh viên nghiên cứu khoa học cấp thành phố (mới xây dựng, bổ sung);Công dân Việt Nam;Hoạt động khoa học và công nghệ (Bộ Khoa học và Công nghệ);;;;;;
1.010168;Chấp thuận việc công nhận sáng kiến do Nhà nước đầu tư kinh phí, phương tiện vật chất - kỹ thuật của tác giả là người đứng đầu cơ sở công nhận sáng kiến (Sở KHCN);Tổ chức (không bao gồm doanh nghiệp, HTX);Sở hữu trí tuệ (Bộ Khoa học và Công nghệ);;;;;;
1.010169;Công nhận sáng kiến có tác dụng, ảnh hưởng đối với thành phố Đà Nẵng (Sở KHCN);"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Sở hữu trí tuệ (Bộ Khoa học và Công nghệ);;;;;;
2.002385.H17;Thủ tục khai báo thiết bị X-quang chẩn đoán trong y tế.;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
2.002380.H17;Thủ tục cấp giấy phép tiến hành công việc bức xạ - Sử dụng thiết bị X-quang chẩn đoán trong y tế.;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
2.002381.H17;Thủ tục gia hạn giấy phép tiến hành công việc bức xạ - Sử dụng thiết bị X-quang chẩn đoán trong y tế;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
2.002382.H17;Thủ tục sửa đổi giấy phép tiến hành công việc bức xạ - Sử dụng thiết bị X-quang chẩn đoán trong y tế;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
2.002383.H17;Thủ tục bổ sung giấy phép tiến hành công việc bức xạ - Sử dụng thiết bị X-quang chẩn đoán trong y tế;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
2.002384.H17;Thủ tục cấp lại giấy phép tiến hành công việc bức xạ - Sử dụng thiết bị X-quang chẩn đoán trong y tế;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
2.002379.H17;Thủ tục cấp chứng chỉ nhân viên bức xạ (đối với người phụ trách an toàn cơ sở X-quang chẩn đoán trong y tế).;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn bức xạ và hạt nhân (Bộ Khoa học và Công nghệ);;;;;;
1.008722.H17;Chuyển đổi nhà trẻ, trường mẫu giáo, trường mầm non tư thục do nhà đầu tư nước ngoài đầu tư sang nhà trẻ, trường mẫu giáo, trường mầm non tư thục hoạt động không vì lợi nhuận;Doanh nghiệp có vốn đầu tư nước ngoài;Giáo dục, đào tạo với nước ngoài (Bộ Giáo dục và Đào tạo);;;;;;
1.008723.H17;"Chuyển đổi trường trung học phổ thông tư thục, trường phổ thông tư thục có nhiều cấp học có cấp học cao nhất là trung học phổ thông do nhà đầu tư trong nước đầu tư; cơ sở giáo dục phổ thông tư thục do nhà đầu tư nước ngoài đầu tư sang trường phổ thông tư thục hoạt động không vì lợi nhuận";"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Giáo dục, đào tạo với nước ngoài (Bộ Giáo dục và Đào tạo);;;;;;
2.002096.H17;Cấp Giấy chứng nhận sản phẩm công nghiệp nông thôn tiêu biểu cấp xã;Tổ chức (không bao gồm doanh nghiệp, HTX);Công nghiệp địa phương (Bộ Công Thương);;;;;;
1.009481.H17;Công nhận khu vực biển cấp tỉnh;"Công dân Việt Nam; Cán bộ, công chức, viên chức; Doanh nghiệp; Hợp tác xã";Biển và hải đảo (Bộ Nông nghiệp và Môi trường);;;;;;
1.009283.H17;Chấm dứt hoạt động của chi nhánh, văn phòng đại diện của tổ chức hòa giải thương mại nước ngoài tại Việt Nam trong trường hợp chi nhánh, văn phòng đại diện chấm dứt hoạt động theo quyết định của tổ chức hòa giải thương mại nước ngoài hoặc tổ chức hòa giải thương mại nước ngoài thành lập chi nhánh, văn phòng đại diện tại Việt Nam chấm dứt hoạt động ở nước ngoài (cấp tỉnh);Tổ chức nước ngoài;Hòa giải thương mại (Bộ Tư pháp);;;;;;
1.008925.H17;Đăng ký tập sự hành nghề Thừa phát lại;Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.008926.H17;Thay đổi nơi tập sự hành nghề Thừa phát lại;Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.008927.H17;Đăng ký hành nghề và cấp Thẻ Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008928.H17;Cấp lại Thẻ Thừa phát lại;Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.008929.H17;Thành lập Văn phòng Thừa phát lại;Công dân Việt Nam;Thừa phát lại (Bộ Tư pháp);;;;;;
1.008930.H17;Đăng ký hoạt động Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008931.H17;Thay đổi nội dung đăng ký hoạt động của Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008932.H17;Chuyển đổi loại hình hoạt động Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008933.H17;Đăng ký hoạt động sau khi chuyển đổi loại hình hoạt động Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008934.H17;Hợp nhất, sáp nhập Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008935.H17;Đăng ký hoạt động, thay đổi nội dung đăng ký hoạt động sau khi hợp nhất, sáp nhập Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008936.H17;Chuyển nhượng Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.008937.H17;Thay đổi nội dung đăng ký hoạt động sau khi chuyển nhượng Văn phòng Thừa phát lại;Tổ chức (không bao gồm doanh nghiệp, HTX);Thừa phát lại (Bộ Tư pháp);;;;;;
1.009284.H17;Đăng ký làm hòa giải viên thương mại vụ việc;Công dân Việt Nam;Hòa giải thương mại (Bộ Tư pháp);;;;;;
1.010426;Giải quyết trợ cấp khó khăn đột xuất của đối tượng chính sách;Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.010427;Giải quyết trợ cấp thường xuyên đối với người có công với cách mạng mắc bệnh hiểm nghèo có hoàn cảnh khó khăn;Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.010454;Giải quyết Chế độ mai táng phí đối với các đối tượng theo Quyết định 62/2011/QĐ-TTg của Thủ tướng chính phủ (cấp xã, phường);Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.010455;"Giải quyết chế độ mai táng phí đối với người trực tiếp tham gia kháng chiến chống Mỹ cứu nước nhưng chưa được hưởng chính sách của Đảng, Nhà nước theo Quyết định số 290/2005/QĐ-TTg, Quyết định số 188/2007/QĐ-TTg; Quyết định số 142/2008/QĐ-TTg ngày 27/10/2008, Quyết định số 53/2010/QĐ-TTg ngày 20/8/2010 của Thủ tướng Chính phủ";Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.010456;Giải quyết chế độ mai táng phí đối với dân công hỏa tuyến tham gia kháng chiến chống Pháp, chống Mỹ, chiến tranh bảo vệ Tổ quốc và làm nhiệm vụ quốc tế hưởng trợ cấp theo Quyết định số 49/2015/QĐ-TTg của Thủ tướng Chính phủ (xã, phường);Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.010452;Giải quyết Chế độ mai táng phí đối với Cựu chiến binh theo Nghị định số 150/2006/NĐ-CP (xã, phường);Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.009756.H17;Thủ tục cấp Giấy chứng nhận đăng ký đầu tư đối với dự án không thuộc diện chấp thuận chủ trương đầu tư (BQL);"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009748.H17;Thủ tục chấp thuận chủ trương đầu tư của Ban Quản lý quy định tại khoản 7 Điều 33 Nghị định số 31/2021/NĐ-CP;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009757.H17;Thủ tục điều chỉnh chủ trương đầu tư của UBND cấp tỉnh hoặc Ban quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009759.H17;Thủ tục điều chỉnh dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009760.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp dự án đã được cấp Giấy chứng nhận đăng ký đầu tư và không thuộc diện chấp thuận điều chỉnh chủ trương đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009762.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp nhà đầu tư chuyển nhượng một phần hoặc toàn bộ dự án đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009763.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp nhà đầu tư nhận chuyển nhượng dự án đầu tư là tài sản bảo đảm đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009764.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp chia, tách, sáp nhập dự án đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009765.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp chia, tách, hợp nhất, sáp nhập, chuyển đổi loại hình tổ chức kinh tế đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009766.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp sử dụng quyền sử dụng đất, tài sản gắn liền với đất thuộc dự án đầu tư để góp vốn vào doanh nghiệp đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009767.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp sử dụng quyền sử dụng đất, tài sản gắn liền với đất thuộc dự án đầu tư để hợp tác kinh doanh đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009768.H17;Thủ tục điều chỉnh dự án đầu tư theo bản án, quyết định của tòa án, trọng tài đối với dự án đầu tư đã được chấp thuận chủ trương đầu tư (Khoản 3 Điều 54 Nghị định số 31/2021/NĐ-CP);"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009769.H17;Thủ tục điều chỉnh dự án đầu tư theo bản án, quyết định của tòa án, trọng tài đối với dự án đầu tư đã được cấp Giấy chứng nhận đăng ký đầu tư và không thuộc diện chấp thuận chủ trương đầu tư hoặc dự án đã được chấp thuận chủ trương đầu tư nhưng không thuộc trường hợp quy định tại khoản 3 Điều 41 của Luật Đầu tư (Khoản 4 Điều 54 Nghị định số 31/2021/NĐ-CP);"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009770.H17;Thủ tục gia hạn thời hạn hoạt động của dự án đầu tư đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009771.H17;Thủ tục ngừng hoạt động của dự án đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009772.H17;Thủ tục chấm dứt hoạt động của dự án đầu tư;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009774.H17;Thủ tục cấp lại hoặc hiệu đính Giấy chứng nhận đăng ký đầu tư (BQL);"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009773.H17;Thủ tục đổi Giấy chứng nhận đăng ký đầu tư (BQL);"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009775.H17;Thủ tục thực hiện hoạt động đầu tư theo hình thức góp vốn, mua cổ phần, mua phần vốn góp đối với nhà đầu tư nước ngoài (BQL);"Người nước ngoài; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009776.H17;Thủ tục thành lập văn phòng điều hành của nhà đầu tư nước ngoài trong hợp đồng BCC (BQL);"Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009777.H17;Thủ tục chấm dứt hoạt động văn phòng điều hành của nhà đầu tư nước ngoài trong hợp đồng BCC (BQL);"Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.010010.H17;Đề nghị dừng thực hiện thủ tục đăng ký doanh nghiệp;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động của doanh nghiệp (Bộ Tài chính);;;;;;
1.010023.H17;Thông báo hủy bỏ nghị quyết, quyết định giải thể doanh nghiệp;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động của doanh nghiệp (Bộ Tài chính);;;;;;
1.010026.H17;Thông báo thay đổi thông tin cổ đông là nhà đầu tư nước ngoài, thông báo thay đổi thông tin người đại diện theo ủy quyền của cổ đông là tổ chức nước ngoài, thông báo cho thuê doanh nghiệp tư nhân, thông báo thay đổi thông tin người đại diện theo ủy quyền;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động của doanh nghiệp (Bộ Tài chính);;;;;;
2.000368.H17;Chấm dứt Cam kết thực hiện mục tiêu xã hội, môi trường;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động doanh nghiệp xã hội (Bộ Tài chính);;;;;;
2.000416.H17;Chuyển đổi doanh nghiệp thành doanh nghiệp xã hội;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động doanh nghiệp xã hội (Bộ Tài chính);;;;;;
2.000375.H17;Thông báo thay đổi nội dung Cam kết thực hiện mục tiêu xã hội, môi trường của doanh nghiệp xã hội;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động doanh nghiệp xã hội (Bộ Tài chính);;;;;;
1.010029.H17;Thông báo về việc sáp nhập công ty trong trường hợp sau sáp nhập công ty, công ty nhận sáp nhập không thay đổi nội dung đăng ký doanh nghiệp;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thành lập và hoạt động của doanh nghiệp (Bộ Tài chính);;;;;;
1.009642.H17;Thủ tục chấp thuận nhà đầu tư của UBND cấp tỉnh hoặc Ban Quản lý.;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009644.H17;Thủ tục điều chỉnh văn bản chấp thuận nhà đầu tư của UBND cấp tỉnh;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009645.H17;Thủ tục chấp thuận chủ trương đầu tư của Ủy ban nhân dân cấp tỉnh;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009646.H17;Thủ tục điều chỉnh dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của Ủy ban nhân dân cấp tỉnh;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009647.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp dự án đã được cấp Giấy chứng nhận đăng ký đầu tư và không thuộc diện chấp thuận điều chỉnh chủ trương đầu tư của UBND cấp tỉnh;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
1.009649.H17;Thủ tục điều chỉnh dự án đầu tư trong trường hợp nhà đầu tư chuyển nhượng một phần hoặc toàn bộ dự án đầu tư đối với dự án thuộc thẩm quyền chấp thuận của UBND cấp tỉnh;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài";Đầu tư tại Việt nam (Bộ Tài chính);;;;;;
